timestamp	tag	val_ic	train_ic	sharpe	hit_rate	note
2026-03-10 21:00:13	baseline	0.052810	0.500950	0.3011	0.5583	
2026-03-10 21:01:17	log_transform_1	0.059190	0.503572	0.3533	0.5750	
2026-03-10 21:01:59	ridge	0.026930	0.074593	0.3223	0.5000	
2026-03-10 21:02:32	piotroski	0.050465	0.508422	0.2376	0.5500	
2026-03-10 21:03:02	random_forest	0.085329	0.404334	0.4452	0.5583	
2026-03-10 21:42:50	interaction	0.081164	0.407484	0.4393	0.5833	
2026-03-10 21:45:16	lgbm	0.036006	0.598257	0.2352	0.5500	
2026-03-10 21:45:44	xgboost	0.066198	0.649031	0.3688	0.5250	
2026-03-10 21:46:16	cs_ranking	0.031989	0.455183	0.0652	0.5083	
2026-03-10 21:46:45	rf_tuned	0.078471	0.483075	0.4821	0.5833	
